# Arp Atlas of Peculiar Galaxies (Arp 1966)
# Source: VizieR catalog VII/192 (Webb 1996) — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/192
# Coordinates are J2000. size is the object diameter in arcminutes.
# canonical_id links to NGC/IC/Messier only for single-galaxy entries.
ra,dec,catalog,catalog_id,canonical_id,size
216.025000,34.891667,Arp,178,Arp_178,3.50
45.420833,-4.671667,Arp,179,Arp_179,2.10
73.341667,-4.801667,Arp,180,Arp_180,2.60
157.070833,79.823333,Arp,181,Arp_181,3.50
351.987500,8.778333,Arp,182,Arp_182,3.50
203.729167,31.391667,Arp,183,Arp_183,3.50
85.516667,69.380000,Arp,184,NGC_1961,10.40
248.166667,78.198333,Arp,185,NGC_6217,5.20
68.500000,-8.578333,Arp,186,NGC_1614,2.60
76.220833,-10.248333,Arp,187,Arp_187,2.10
241.516667,55.421667,Arp,188,Arp_188,5.20
190.929167,16.395000,Arp,189,NGC_4651,10.40
42.583333,12.888333,Arp,190,Arp_190,5.20
166.833333,18.431667,Arp,191,Arp_191,2.60
159.245833,18.136667,Arp,192,NGC_3303,3.50
200.145833,34.138333,Arp,193,IC_883,2.60
179.470833,36.388333,Arp,194,Arp_194,2.60
133.458333,35.143333,Arp,195,Arp_195,2.60
198.658333,26.123333,Arp,196,Arp_196,2.10
172.754167,20.470000,Arp,197,IC_701,2.60
164.941667,17.648333,Arp,198,Arp_198,2.60
214.258333,36.571667,Arp,199,Arp_199,2.10
43.420833,13.015000,Arp,200,NGC_1134,3.50
5.891667,-0.490000,Arp,201,Arp_201,2.10
135.066667,35.726667,Arp,202,Arp_202,3.50
172.787500,28.566667,Arp,203,NGC_3712,3.50
200.708333,84.506667,Arp,204,Arp_204,2.60
163.662500,54.306667,Arp,205,NGC_3448,10.40
163.129167,36.620000,Arp,206,Arp_206,10.40
142.779167,76.465000,Arp,207,Arp_207,2.10
252.762500,47.220000,Arp,208,Arp_208,2.60
241.304167,20.541667,Arp,209,NGC_6052,2.10
67.704167,64.848333,Arp,210,NGC_1569,3.50
189.329167,38.725000,Arp,211,Arp_211,2.10
350.125000,17.225000,Arp,212,NGC_7625,2.60
61.945833,69.813333,Arp,213,IC_356,5.20
173.145833,53.066667,Arp,214,NGC_3718,10.40
138.520833,40.113333,Arp,215,NGC_2782,5.20
352.195833,3.511667,Arp,216,Arp_216,10.40
159.691667,53.501667,Arp,217,NGC_3310,10.40
238.383333,18.603333,Arp,218,Arp_218,2.10
54.925000,-2.113333,Arp,219,Arp_219,2.10
233.737500,23.505000,Arp,220,Arp_220,2.60
144.100000,-11.328333,Arp,221,Arp_221,2.60
354.975000,-12.291667,Arp,222,NGC_7727,10.40
349.508333,-4.648333,Arp,223,NGC_7585,3.50
177.779167,55.078333,Arp,224,NGC_3921,5.20
133.912500,78.225000,Arp,225,NGC_2655,10.40
335.187500,-24.678333,Arp,226,NGC_7252,10.40
20.029167,3.416667,Arp,227,Arp_227,10.40
27.220833,10.521667,Arp,228,IC_162,2.60
20.920833,33.280000,Arp,229,Arp_229,10.40
11.600000,-13.441667,Arp,230,IC_51,3.50
10.891667,-4.118333,Arp,231,IC_1575,5.20
143.445833,10.151667,Arp,232,NGC_2911,2.10
158.133333,54.400000,Arp,233,Arp_233,2.60
173.954167,54.525000,Arp,234,NGC_3738,3.50
2.191667,15.815000,Arp,235,NGC_14,3.50
16.945833,-17.506667,Arp,236,Arp_236,5.20
141.933333,12.286667,Arp,237,Arp_237,2.60
198.870833,62.128333,Arp,238,Arp_238,2.60
205.416667,55.668333,Arp,239,Arp_239,4.20
204.970833,0.840000,Arp,240,Arp_240,4.20
219.462500,30.481667,Arp,241,Arp_241,2.10
191.541667,30.733333,Arp,242,Arp_242,5.20
129.600000,25.755000,Arp,243,Arp_243,2.60
180.470833,-18.865000,Arp,244,Arp_244,20.80
146.425000,-14.326667,Arp,245,Arp_245,10.40
1.725000,8.350000,Arp,246,Arp_246,2.10
125.883333,21.338333,Arp,247,Arp_247,2.60
176.687500,-3.846667,Arp,248,Arp_248,5.20
0.079167,22.990000,Arp,249,Arp_249,2.10
114.000000,35.375000,Arp,250,Arp_250,2.10
13.445833,-13.861667,Arp,251,Arp_251,2.10
146.241667,-19.725000,Arp,252,Arp_252,2.60
145.854167,-5.280000,Arp,253,Arp_253,3.50
230.383333,-7.376667,Arp,254,NGC_5917,10.40
148.287500,7.880000,Arp,255,Arp_255,2.60
4.708333,-10.361667,Arp,256,Arp_256,2.60
132.908333,-2.366667,Arp,257,Arp_257,2.60
39.770833,18.393333,Arp,258,Arp_258,3.50
75.408333,-4.258333,Arp,259,Arp_259,3.50
183.412500,16.121667,Arp,260,Arp_260,2.60
222.379167,-10.173333,Arp,261,Arp_261,10.40
359.187500,16.811667,Arp,262,Arp_262,2.60
156.270833,17.160000,Arp,263,NGC_3239,5.20
150.991667,40.756667,Arp,264,NGC_3104,3.50
193.470833,36.086667,Arp,265,IC_3862,2.10
194.758333,34.860000,Arp,266,NGC_4861,3.50
159.179167,31.546667,Arp,267,Arp_267,2.60
124.775000,70.713333,Arp,268,Arp_268,10.40
187.654167,41.640000,Arp,269,Arp_269,10.40
162.458333,32.980000,Arp,270,Arp_270,3.50
210.854167,-6.070000,Arp,271,Arp_271,5.20
241.379167,17.768333,Arp,272,NGC_6054,2.10
35.370833,39.375000,Arp,273,Arp_273,3.50
218.775000,5.348333,Arp,274,Arp_274,2.60
141.479167,-11.983333,Arp,275,Arp_275,2.10
37.045833,19.600000,Arp,276,Arp_276,2.60
193.712500,2.653333,Arp,277,Arp_277,2.10
334.858333,29.398333,Arp,278,Arp_278,2.60
48.537500,-2.823333,Arp,279,Arp_279,10.40
174.433333,47.891667,Arp,280,Arp_280,3.50
190.525000,32.540000,Arp,281,Arp_281,21.80
9.216667,23.991667,Arp,282,Arp_282,3.50
139.345833,42.000000,Arp,283,Arp_283,3.50
354.058333,2.155000,Arp,284,Arp_284,5.20
141.012500,49.203333,Arp,285,Arp_285,5.20
215.083333,3.933333,Arp,286,Arp_286,10.40
135.658333,25.935000,Arp,287,Arp_287,2.60
203.733333,13.831667,Arp,288,Arp_288,10.40
179.029167,-19.895000,Arp,289,NGC_3981,10.40
30.933333,14.708333,Arp,290,Arp_290,3.50
160.704167,13.460000,Arp,291,Arp_291,2.60
148.637500,-6.856667,Arp,292,IC_575,2.60
254.629167,58.936667,Arp,293,Arp_293,3.50
174.929167,31.908333,Arp,294,Arp_294,10.40
355.450000,-3.676667,Arp,295,Arp_295,10.40
172.083333,58.541667,Arp,296,Arp_296,3.50
221.333333,38.731667,Arp,297,Arp_297,10.40
345.816667,8.873333,Arp,298,Arp_298,3.50
172.141667,58.563333,Arp,299,Arp_299,3.50
142.008333,68.421667,Arp,300,Arp_300,3.50
167.466667,24.261667,Arp,301,Arp_301,2.60
224.254167,24.616667,Arp,302,Arp_302,2.60
146.583333,3.045000,Arp,303,Arp_303,3.50
47.812500,-8.921667,Arp,304,Arp_304,3.50
179.620833,27.528333,Arp,305,Arp_305,10.40
23.120833,4.595000,Arp,306,Arp_306,5.20
141.429167,11.431667,Arp,307,Arp_307,3.50
21.495833,-1.340000,Arp,308,Arp_308,2.60
37.291667,-10.836667,Arp,309,Arp_309,3.50
261.854167,58.516667,Arp,310,Arp_310,2.10
261.820833,58.485000,Arp,311,Arp_311,5.20
252.454167,46.718333,Arp,312,Arp_312,2.60
179.404167,32.276667,Arp,313,Arp_313,10.40
344.504167,-3.768333,Arp,314,Arp_314,10.40
139.945833,33.750000,Arp,315,Arp_315,2.60
154.604167,21.893333,Arp,316,Arp_316,16.20
169.729167,13.093333,Arp,317,Arp_317,62.40
32.333333,-10.133333,Arp,318,Arp_318,10.40
338.987500,33.965000,Arp,319,Arp_319,10.40
174.466667,21.973333,Arp,320,Arp_320,5.20
144.720833,-4.860000,Arp,321,Arp_321,2.60
173.166667,52.950000,Arp,322,Arp_322,2.60
358.541667,0.383333,Arp,323,Arp_323,3.50
