# Principal Galaxy Catalogue — RC3 subset (de Vaucouleurs et al. 1991)
# Source: VizieR catalog VII/155 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/155
# Coordinates are ICRS (J2000). size is D25 (major axis at 25 mag/arcsec²) in arcminutes,
# converted from logD25 (log10 of D25 in 0.1 arcmin): size = 10^D25 * 0.1.
# magnitude is total B magnitude (BT).
ra,dec,catalog,catalog_id,size,magnitude
5.106250,0.826667,PGC,1306,1.12,13.68
5.114167,0.833056,PGC,1309,0.69,14.40
5.142917,47.434444,PGC,1315,1.51,
5.172500,-23.282500,PGC,1325,1.58,
5.175000,-4.433333,PGC,1326,1.26,
5.186667,22.599444,PGC,1328,0.71,
5.200000,20.016667,PGC,1330,1.00,
5.232917,21.865556,PGC,1333,0.74,
5.237500,-63.857500,PGC,1335,2.04,
5.225000,12.850000,PGC,1336,0.91,
5.243333,17.689167,PGC,1337,1.00,
5.250000,7.600000,PGC,1346,1.10,
5.277917,26.514167,PGC,1347,0.59,
5.286250,27.211667,PGC,1349,1.41,
5.286667,-50.490833,PGC,1350,0.85,
5.297083,22.358056,PGC,1351,1.82,13.10
5.300000,30.466667,PGC,1353,0.66,
5.313333,-48.629444,PGC,1357,0.87,14.67
5.320417,30.506944,PGC,1359,0.87,
5.325417,29.858611,PGC,1361,0.00,
5.325000,23.100000,PGC,1362,1.17,
5.342083,-48.640833,PGC,1370,0.79,14.98
5.345000,22.435556,PGC,1371,1.55,13.58
5.334167,17.340556,PGC,1372,0.78,
5.350417,-48.665833,PGC,1374,1.20,14.18
5.371667,22.500556,PGC,1382,0.87,
5.379583,29.660556,PGC,1387,0.93,
5.383750,-48.626111,PGC,1388,1.95,13.81
5.465417,22.400278,PGC,1405,1.95,14.54
5.500000,22.400000,PGC,1412,1.38,14.34
5.500000,23.733333,PGC,1413,1.15,
5.542500,-4.347222,PGC,1419,1.29,
5.550000,20.600000,PGC,1422,1.00,
5.559167,10.493889,PGC,1426,1.95,13.19
5.575000,6.433333,PGC,1433,1.29,
5.609583,29.503056,PGC,1439,1.17,
5.610000,-53.646111,PGC,1440,2.69,
5.625000,29.745278,PGC,1442,1.51,
5.638750,28.121389,PGC,1450,1.10,
5.641667,-8.487222,PGC,1451,1.58,
5.661250,-48.581111,PGC,1452,1.26,13.90
5.690833,29.940278,PGC,1460,0.66,
5.702500,24.151389,PGC,1462,0.00,
5.705833,-45.269444,PGC,1463,1.66,13.41
5.700000,6.966667,PGC,1464,0.83,
5.737917,25.213056,PGC,1472,0.00,
5.737500,16.252778,PGC,1478,0.98,
