# Lynds' Catalogue of Dark Nebulae (Lynds 1962)
# Source: VizieR catalog VII/7A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/7A
# Coordinates are ICRS (J2000). size is the diameter of the equivalent circle in arcminutes,
# derived from the catalogue Area (sq deg): 2*sqrt(Area/pi)*60.
ra,dec,catalog,catalog_id,size
268.260000,-23.176944,LDN,188,36.96
265.751250,-21.689167,LDN,189,52.27
252.076250,-12.920556,LDN,190,10.04
251.950417,-12.754444,LDN,191,26.91
262.740000,-19.786944,LDN,192,35.70
263.994167,-20.530833,LDN,193,21.83
273.273333,-25.486111,LDN,194,38.06
273.974583,-25.732500,LDN,195,3.71
272.520417,-24.989722,LDN,196,3.03
273.272500,-25.336111,LDN,197,8.01
273.397500,-25.368611,LDN,198,6.77
273.772917,-25.450278,LDN,199,2.14
272.519583,-24.823056,LDN,200,69.37
275.026250,-25.977500,LDN,201,125.75
264.618333,-20.361111,LDN,202,23.65
273.596250,-25.167778,LDN,203,4.28
251.947083,-12.087778,LDN,204,27.67
276.528333,-26.386944,LDN,205,10.92
262.735833,-19.036944,LDN,206,127.74
266.247500,-21.020000,LDN,207,95.75
273.268333,-24.652778,LDN,208,12.11
264.490833,-19.861944,LDN,209,7.72
272.290417,-24.124167,LDN,210,2.14
272.390417,-24.156944,LDN,211,6.06
272.766667,-24.321667,LDN,212,20.65
272.264583,-24.007500,LDN,213,2.14
272.264583,-23.974167,LDN,214,2.14
269.506250,-22.504167,LDN,215,201.18
264.489583,-19.661944,LDN,216,7.10
277.026667,-26.134444,LDN,217,6.42
268.752917,-21.974444,LDN,218,10.70
264.865417,-19.776667,LDN,219,19.62
262.732917,-18.470278,LDN,220,5.66
272.764583,-23.988333,LDN,221,86.17
265.290417,-19.774722,LDN,222,2.14
265.190000,-19.708333,LDN,223,2.14
272.136667,-23.491389,LDN,224,8.29
263.233333,-18.534444,LDN,225,20.08
265.139583,-19.658611,LDN,226,3.71
272.512500,-23.656389,LDN,227,15.14
265.189583,-19.625000,LDN,228,3.03
265.038750,-19.509167,LDN,229,3.03
272.261667,-23.457500,LDN,230,3.71
265.089167,-19.525556,LDN,231,2.14
271.257917,-22.829167,LDN,232,19.85
266.267083,-20.020000,LDN,233,2.14
252.192500,-11.086667,LDN,234,80.39
266.617917,-20.185000,LDN,235,13.20
276.521667,-25.303611,LDN,236,11.53
270.254167,-22.167222,LDN,237,49.01
248.930417,-8.768333,LDN,238,15.73
278.350417,-26.011389,LDN,239,9.08
279.277083,-26.373611,LDN,240,10.04
272.885833,-23.321111,LDN,241,9.81
273.036250,-23.403889,LDN,242,6.77
273.010833,-23.320556,LDN,243,49.01
252.943333,-11.250000,LDN,244,19.85
277.772500,-25.464167,LDN,245,44.91
266.239167,-19.520000,LDN,246,214.09
276.017500,-24.556111,LDN,247,12.48
279.023750,-25.791389,LDN,248,15.44
272.505833,-22.489722,LDN,249,29.51
275.840000,-24.140278,LDN,250,3.03
277.268750,-24.800000,LDN,251,29.12
275.789583,-24.057222,LDN,252,4.28
280.024583,-25.953333,LDN,253,56.20
267.490000,-19.680556,LDN,254,32.82
251.936667,-9.921111,LDN,255,12.11
273.758750,-22.983611,LDN,256,41.57
272.755417,-22.405000,LDN,257,18.54
266.235417,-18.853333,LDN,258,28.72
276.264167,-23.988056,LDN,259,10.27
251.935000,-9.587778,LDN,260,18.42
263.976250,-17.197500,LDN,261,35.05
270.747500,-20.998056,LDN,262,6.42
279.019167,-24.958333,LDN,263,105.54
267.235417,-18.848611,LDN,264,25.51
274.255833,-22.481111,LDN,265,38.89
277.764583,-24.130833,LDN,266,43.77
275.884167,-23.140000,LDN,267,4.79
275.884167,-23.140000,LDN,268,4.79
277.387917,-23.799444,LDN,269,13.71
267.232917,-18.348611,LDN,270,45.42
272.749167,-21.321667,LDN,271,8.56
274.503750,-22.146667,LDN,272,17.91
266.103750,-17.603889,LDN,273,5.66
272.322500,-20.957222,LDN,274,9.57
272.998750,-21.187222,LDN,275,2.14
265.977500,-17.354722,LDN,276,14.04
266.353333,-17.486111,LDN,277,4.79
254.689167,-10.241667,LDN,278,72.60
268.233750,-18.510278,LDN,279,46.02
254.688333,-10.075000,LDN,280,33.92
271.242083,-19.995833,LDN,281,76.60
273.247500,-20.986111,LDN,282,15.44
264.720417,-16.027222,LDN,283,148.02
279.010417,-23.458333,LDN,284,30.20
268.982917,-18.340000,LDN,285,31.32
270.487500,-19.166111,LDN,286,22.96
260.705833,-13.380000,LDN,287,26.91
269.483750,-18.504167,LDN,288,15.14
270.235833,-18.833889,LDN,289,11.12
265.720417,-16.022500,LDN,290,77.78
274.997083,-20.977500,LDN,291,35.44
269.431250,-18.004444,LDN,292,15.14
269.481250,-18.004167,LDN,293,96.22
278.004167,-22.296389,LDN,294,3.03
278.204167,-22.345278,LDN,295,3.03
278.129167,-22.295833,LDN,296,3.03
281.762083,-23.945000,LDN,297,28.40
269.731250,-18.003056,LDN,298,22.04
255.184167,-9.239444,LDN,299,30.88
282.763750,-24.273611,LDN,300,41.18
278.855000,-22.492222,LDN,301,9.08
269.379583,-17.671389,LDN,302,13.54
271.986667,-18.992222,LDN,303,287.24
278.752917,-22.126111,LDN,304,9.57
267.471667,-16.264167,LDN,305,138.25
275.795417,-20.640278,LDN,306,10.70
271.558750,-18.444167,LDN,307,2.14
271.683333,-18.426944,LDN,308,2.14
277.749583,-21.464167,LDN,309,8.01
271.733333,-18.360000,LDN,310,4.28
282.384167,-23.442222,LDN,311,32.04
267.720417,-16.012778,LDN,312,109.38
278.374583,-21.544444,LDN,313,9.08
275.241667,-19.976389,LDN,314,128.46
274.489167,-19.480000,LDN,315,165.84
281.180000,-22.614444,LDN,316,22.25
255.178750,-8.072778,LDN,317,85.64
269.975000,-16.835278,LDN,318,6.42
270.475000,-16.832778,LDN,319,14.04
269.973333,-16.501944,LDN,320,80.68
282.579583,-22.641111,LDN,321,10.70
274.986250,-18.977500,LDN,322,76.90
273.882083,-18.183056,LDN,323,8.56
260.440833,-10.381111,LDN,324,163.05
268.465417,-15.009167,LDN,325,64.23
267.462083,-14.430833,LDN,326,11.73
274.231250,-18.064444,LDN,327,7.10
274.231250,-17.997778,LDN,328,2.14
280.120417,-20.869444,LDN,329,15.44
267.611667,-14.280000,LDN,330,7.10
274.230000,-17.814444,LDN,331,4.79
275.231667,-18.143056,LDN,332,8.01
272.725000,-16.821944,LDN,333,47.78
279.993333,-20.453333,LDN,334,18.54
274.780000,-17.811944,LDN,335,4.28
274.980417,-17.894167,LDN,336,14.68
269.464583,-14.854444,LDN,337,10.04
268.962917,-14.506667,LDN,338,12.48
269.138333,-14.589167,LDN,339,8.56
269.713333,-14.603056,LDN,340,12.67
269.838750,-14.669167,LDN,341,7.10
275.479167,-17.641944,LDN,342,60.37
277.232917,-18.400000,LDN,343,67.26
280.490417,-19.951111,LDN,344,8.56
268.458333,-13.675833,LDN,345,33.17
280.740417,-19.950000,LDN,346,8.56
271.967917,-15.492222,LDN,347,29.51
272.468750,-15.656389,LDN,348,11.12
267.780000,-13.012500,LDN,349,7.10
276.979583,-17.801389,LDN,350,25.78
275.976667,-17.222778,LDN,351,11.53
266.450000,-12.018889,LDN,352,155.13
278.232083,-18.295278,LDN,353,123.55
276.226667,-17.255000,LDN,354,11.53
267.953333,-12.678333,LDN,355,18.54
277.604167,-17.715000,LDN,356,7.10
273.969167,-15.732500,LDN,357,26.31
268.202500,-12.510556,LDN,358,58.63
275.722917,-16.473889,LDN,359,151.39
267.926250,-12.261667,LDN,360,6.42
268.000833,-12.178056,LDN,361,7.42
277.475833,-17.132222,LDN,362,46.17
269.705000,-13.003056,LDN,363,100.19
278.728333,-17.626111,LDN,364,21.62
280.732083,-18.450000,LDN,365,20.65
267.445000,-11.014167,LDN,367,60.56
271.330833,-13.161944,LDN,368,84.29
281.530833,-18.196111,LDN,369,8.56
277.646250,-16.214722,LDN,370,6.42
259.419583,-6.052778,LDN,371,68.38
277.645417,-16.064722,LDN,372,2.14
261.424583,-7.043056,LDN,373,42.55
277.469167,-15.798889,LDN,374,39.94
272.205000,-12.991111,LDN,375,23.26
275.713333,-14.640556,LDN,376,57.85
293.071667,-22.392500,LDN,377,3.03
279.219583,-15.957222,LDN,378,20.08
277.715417,-15.131111,LDN,379,28.80
275.710000,-13.973889,LDN,380,34.39
279.343750,-15.789722,LDN,381,4.79
266.935000,-9.016667,LDN,382,31.68
270.695000,-10.998333,LDN,383,58.79
270.693750,-10.748333,LDN,384,181.16
278.713750,-14.842778,LDN,385,7.10
273.200000,-11.986111,LDN,386,292.77
259.660000,-4.051667,LDN,387,50.12
278.210833,-14.211944,LDN,388,164.31
278.210417,-14.128611,LDN,389,23.55
278.961667,-14.458333,LDN,390,25.96
258.905000,-3.055000,LDN,391,42.44
268.432500,-8.509167,LDN,392,6.77
266.175833,-7.186944,LDN,393,302.78
275.450833,-12.225278,LDN,394,82.92
279.710000,-14.121389,LDN,395,43.67
278.005833,-13.213056,LDN,396,4.28
270.686667,-9.331667,LDN,397,36.02
278.205833,-13.295278,LDN,398,7.10
276.702083,-12.469167,LDN,399,69.37
268.931250,-8.256944,LDN,400,20.87
279.533333,-13.788889,LDN,401,5.66
277.453333,-12.715556,LDN,402,5.24
279.206667,-13.457222,LDN,403,7.10
277.452083,-12.465556,LDN,404,7.72
275.697083,-11.474167,LDN,405,219.38
276.448750,-11.803611,LDN,406,58.48
278.704167,-12.959444,LDN,407,39.42
272.687083,-9.488611,LDN,408,46.61
280.456250,-13.451111,LDN,409,81.81
280.706250,-13.450000,LDN,410,151.39
276.947083,-11.468056,LDN,411,6.77
277.949167,-11.963056,LDN,412,9.08
276.645833,-11.219444,LDN,413,6.77
276.068750,-10.838889,LDN,414,6.77
276.192917,-10.638333,LDN,415,25.33
276.317917,-10.637778,LDN,416,4.79
276.317500,-10.604444,LDN,417,3.71
273.685417,-9.150556,LDN,418,27.08
273.182917,-8.652778,LDN,419,22.25
276.441250,-10.303889,LDN,420,6.77
268.569167,-5.808611,LDN,421,9.57
272.930833,-8.154167,LDN,422,5.66
276.940833,-10.218056,LDN,423,7.42
273.682083,-8.483889,LDN,424,24.50
266.713333,-4.684167,LDN,425,8.83
272.879583,-7.954444,LDN,426,2.14
276.688750,-9.802500,LDN,427,4.28
266.912500,-4.516667,LDN,428,41.18
274.181250,-8.314722,LDN,429,17.65
272.927917,-7.620833,LDN,430,3.71
273.429167,-7.818333,LDN,431,20.65
269.668750,-5.753333,LDN,432,6.06
280.696250,-11.450000,LDN,433,88.53
280.696250,-11.450000,LDN,434,71.33
278.189167,-9.961944,LDN,435,196.22
273.677083,-7.400556,LDN,436,5.24
275.054583,-7.977222,LDN,437,27.33
273.550833,-7.151111,LDN,438,6.06
269.915000,-5.001944,LDN,439,28.80
274.927083,-7.477778,LDN,440,8.01
270.916667,-5.330556,LDN,441,108.32
269.412500,-4.504444,LDN,442,8.01
278.185000,-9.128611,LDN,443,14.36
270.665000,-4.998333,LDN,444,68.71
279.437500,-9.622778,LDN,445,19.85
277.682917,-8.631111,LDN,446,25.33
273.923333,-6.649167,LDN,447,50.03
279.185833,-9.290556,LDN,448,11.12
282.944167,-11.105833,LDN,449,15.14
278.182500,-8.628611,LDN,450,14.83
275.425417,-7.141944,LDN,451,10.04
284.196250,-11.600000,LDN,452,76.30
276.177083,-7.471667,LDN,453,105.54
277.179583,-7.966944,LDN,454,25.33
279.435000,-9.122778,LDN,455,9.08
283.193333,-10.938056,LDN,456,12.11
284.195417,-11.433333,LDN,458,76.30
280.687083,-9.616667,LDN,459,117.26
269.659167,-3.753333,LDN,460,5.24
272.415833,-5.156667,LDN,461,23.16
271.663333,-4.660278,LDN,462,13.71
277.929583,-7.963333,LDN,463,67.70
283.191667,-10.604722,LDN,464,12.48
274.920833,-6.144444,LDN,466,7.42
274.745000,-5.978611,LDN,467,5.24
270.157917,-3.500833,LDN,468,8.56
273.365417,-5.101944,LDN,469,3.71
274.668750,-5.728889,LDN,470,5.66
274.919167,-5.811111,LDN,471,16.02
273.540000,-4.984444,LDN,472,12.11
279.429167,-7.956111,LDN,473,32.04
282.937500,-9.689167,LDN,474,89.82
274.792500,-5.478333,LDN,475,11.53
274.667083,-5.395556,LDN,476,4.28
274.792083,-5.395000,LDN,477,5.24
273.162500,-4.486111,LDN,478,21.83
274.790833,-5.145000,LDN,479,3.71
281.181667,-8.447500,LDN,480,44.91
276.419583,-5.970556,LDN,481,182.42
274.790833,-5.111667,LDN,482,8.01
274.414167,-4.813611,LDN,483,13.20
279.926667,-7.453611,LDN,484,92.58
279.174583,-6.957222,LDN,485,55.21
271.655417,-2.993611,LDN,486,83.74
274.211667,-4.314444,LDN,487,4.28
274.161250,-4.231389,LDN,488,4.28
277.167917,-5.633611,LDN,489,33.03
273.784167,-3.816667,LDN,490,3.03
276.917500,-5.468056,LDN,491,34.65
273.909167,-3.815833,LDN,492,6.06
273.157083,-3.319722,LDN,493,19.27
279.247083,-6.456944,LDN,494,7.10
279.722917,-6.654722,LDN,495,3.03
281.928333,-7.777500,LDN,496,75.39
279.797917,-6.620833,LDN,497,11.12
279.997917,-6.653333,LDN,498,4.28
280.172083,-6.452500,LDN,499,15.14
274.157083,-3.314722,LDN,500,4.28
274.407083,-3.313611,LDN,501,10.04
271.875000,-1.859167,LDN,502,4.79
277.288333,-4.633056,LDN,503,6.06
274.656250,-3.145556,LDN,504,3.03
274.906667,-3.227778,LDN,505,5.66
281.923750,-6.860833,LDN,506,2.14
273.753333,-2.616667,LDN,507,8.56
272.398750,-1.656667,LDN,508,12.85
283.425833,-7.303611,LDN,509,3.71
273.651667,-2.233889,LDN,510,15.14
276.408333,-3.637222,LDN,511,61.01
283.299583,-7.104167,LDN,512,17.39
272.648333,-1.555278,LDN,513,24.13
283.223750,-6.937778,LDN,514,4.79
279.414583,-4.956111,LDN,515,196.69
282.847500,-6.606389,LDN,516,11.12
281.292917,-5.613611,LDN,517,34.85
283.297500,-6.604167,LDN,518,3.71
273.146250,-1.153056,LDN,519,25.15
275.402083,-2.308611,LDN,520,21.09
283.119167,-5.905000,LDN,521,8.01
282.918333,-5.772778,LDN,522,28.40
282.291667,-5.442222,LDN,523,16.72
281.414583,-4.946389,LDN,524,52.00
279.660000,-3.954722,LDN,525,99.50
276.652083,-2.302778,LDN,526,64.41
281.613750,-4.778889,LDN,527,4.79
281.788750,-4.778056,LDN,528,34.98
281.412083,-4.446389,LDN,529,34.39
282.413750,-4.775000,LDN,530,23.84
286.522917,-6.839167,LDN,531,4.79
281.786667,-4.361389,LDN,532,8.56
275.897083,-1.306389,LDN,533,10.04
283.164167,-4.938056,LDN,534,120.83
279.279583,-2.890000,LDN,535,11.53
278.652917,-2.543056,LDN,536,34.05
275.645417,-0.974167,LDN,537,49.47
279.154167,-2.790556,LDN,538,24.69
275.995833,-1.072500,LDN,539,10.04
286.520833,-6.422500,LDN,540,22.76
279.077500,-2.457500,LDN,541,14.04
285.417083,-5.594167,LDN,542,18.54
286.670000,-6.171667,LDN,543,5.66
285.391667,-5.427778,LDN,544,5.66
284.188333,-4.766667,LDN,545,5.24
284.388333,-4.765833,LDN,546,5.66
282.659167,-3.857222,LDN,547,102.68
282.408333,-3.691667,LDN,548,67.70
285.540833,-5.260278,LDN,549,5.24
286.917917,-5.753889,LDN,550,119.40
284.461667,-4.431944,LDN,551,3.03
286.090417,-5.257778,LDN,552,12.11
285.790000,-5.092500,LDN,553,9.57
287.017500,-5.670000,LDN,554,11.53
280.376667,-2.284722,LDN,555,6.06
284.787083,-4.513889,LDN,556,24.41
279.649583,-1.788333,LDN,557,28.80
279.398750,-1.622778,LDN,558,44.50
278.145417,-0.962222,LDN,559,279.15
280.400417,-1.951389,LDN,560,14.04
284.409583,-3.932222,LDN,561,84.29
285.662083,-4.509722,LDN,562,9.57
279.898333,-1.536944,LDN,563,107.05
279.396667,-1.206111,LDN,564,30.88
283.907500,-3.518056,LDN,565,79.24
282.654167,-2.773889,LDN,566,15.14
286.037083,-4.474722,LDN,567,10.49
284.858750,-3.763611,LDN,568,6.77
274.633333,1.520833,LDN,569,376.95
276.642917,-0.469444,LDN,570,17.39
277.640833,0.035556,LDN,571,25.51
277.640833,0.035556,LDN,572,253.32
277.142500,-0.383611,LDN,573,10.92
286.786667,-4.421111,LDN,574,16.72
277.018750,-0.634167,LDN,575,18.91
277.867500,-0.380000,LDN,576,4.79
286.409167,-3.922778,LDN,577,59.95
277.793333,-0.497222,LDN,578,6.06
283.902500,-2.434722,LDN,579,88.53
287.160000,-4.086111,LDN,580,13.71
286.859167,-3.920833,LDN,581,18.17
283.150000,-1.938056,LDN,582,36.02
278.387917,0.622500,LDN,583,19.62
284.151667,-2.266667,LDN,584,18.79
275.880833,2.026944,LDN,585,77.78
279.765833,0.045833,LDN,586,12.48
279.890833,0.046389,LDN,587,20.65
279.017917,-0.457778,LDN,588,12.48
283.147917,-1.438333,LDN,589,87.75
