# Catalogue of HII Regions (Sharpless 1959)
# Source: VizieR catalog VII/20 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/20
# Coordinates converted from B1950 to ICRS. size is the object diameter in arcminutes.
ra,dec,catalog,catalog_id,size
85.319009,52.188413,Sh2,218,70.00
74.033376,47.395140,Sh2,219,3.00
60.159871,36.617226,Sh2,220,320.00
75.416690,46.348821,Sh2,221,120.00
67.541028,35.270040,Sh2,222,6.00
79.299561,42.211833,Sh2,223,70.00
81.817153,42.971185,Sh2,224,30.00
81.751563,40.621621,Sh2,225,10.00
77.778421,37.992604,Sh2,226,3.00
79.971977,38.955175,Sh2,227,20.00
78.396340,37.453381,Sh2,228,8.00
79.079107,34.463362,Sh2,229,65.00
80.626532,34.131922,Sh2,230,300.00
84.831525,35.924954,Sh2,231,12.00
85.611197,36.200771,Sh2,232,40.00
84.679464,35.793081,Sh2,233,2.00
82.032409,34.435142,Sh2,234,12.00
85.255815,35.854183,Sh2,235,10.00
80.640961,33.365067,Sh2,236,55.00
82.856036,34.277218,Sh2,237,7.00
65.458276,19.537693,Sh2,238,1.00
67.822510,18.116674,Sh2,239,5.00
85.251382,28.103724,Sh2,240,180.00
91.030449,30.247791,Sh2,241,10.00
87.964078,27.010711,Sh2,242,7.00
84.843842,23.290722,Sh2,243,6.00
83.628063,21.952384,Sh2,244,5.00
60.639406,4.128560,Sh2,245,720.00
75.539985,14.095687,Sh2,246,65.00
92.126445,21.619973,Sh2,247,9.00
94.161173,22.500266,Sh2,248,50.00
95.242655,23.089813,Sh2,249,80.00
70.047203,7.362821,Sh2,250,10.00
68.207647,5.862717,Sh2,251,35.00
92.413941,20.500453,Sh2,252,40.00
96.433026,20.028125,Sh2,253,5.00
93.087113,18.043787,Sh2,254,11.00
93.286359,17.975182,Sh2,255,3.00
93.161025,17.943064,Sh2,256,1.00
93.211374,17.975910,Sh2,257,3.00
93.385804,17.924214,Sh2,258,1.00
92.905721,17.445517,Sh2,259,2.00
73.782833,5.661721,Sh2,260,22.00
92.238359,15.801915,Sh2,261,45.00
76.688516,6.167864,Sh2,262,20.00
80.436183,8.399036,Sh2,263,22.00
83.802240,9.933437,Sh2,264,390.00
79.651617,7.439817,Sh2,265,70.00
94.707684,15.277921,Sh2,266,1.00
93.972292,14.268336,Sh2,267,4.00
92.562733,13.331973,Sh2,268,60.00
93.642711,13.821512,Sh2,269,4.00
92.557444,12.815333,Sh2,270,1.00
93.727690,12.353948,Sh2,271,2.00
93.752517,12.337039,Sh2,272,1.00
100.202133,9.907985,Sh2,273,250.00
112.278773,13.261921,Sh2,274,8.00
97.928741,4.929607,Sh2,275,100.00
81.867210,-3.965243,Sh2,276,1200.00
85.181819,-2.447134,Sh2,277,120.00
79.951003,-5.663632,Sh2,278,50.00
83.834007,-4.800886,Sh2,279,20.00
98.580594,2.539883,Sh2,280,40.00
83.727537,-5.466556,Sh2,281,60.00
99.495716,1.514371,Sh2,282,35.00
99.663019,0.712729,Sh2,283,3.00
101.258454,0.230763,Sh2,284,80.00
103.801533,-0.510119,Sh2,285,1.00
103.638579,-4.508755,Sh2,286,6.00
104.886060,-4.803882,Sh2,287,12.00
107.141286,-4.308320,Sh2,288,1.00
101.485850,-7.338422,Sh2,289,11.00
133.546212,8.921186,Sh2,290,17.00
103.854938,-8.027629,Sh2,291,8.00
106.107538,-10.448939,Sh2,292,21.00
105.448824,-11.309469,Sh2,293,11.00
109.143793,-9.443763,Sh2,294,7.00
