# Barnard Catalogue of 349 Dark Objects in the Sky (Barnard 1927)
# Source: VizieR catalog VII/220A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/220A
# Coordinates are ICRS (J2000), converted from the original B1875 positions.
# size is the object diameter in arcminutes (0 = not recorded).
ra,dec,catalog,catalog_id,size
267.817083,-33.872500,Barnard,283,75.00
267.528750,-14.374167,Barnard,284,25.00
267.884583,-12.869722,Barnard,285,15.00
268.265417,-35.617222,Barnard,286,15.00
268.612083,-35.196111,Barnard,287,30.00
269.276667,-37.088333,Barnard,288,2.00
269.153333,-29.022222,Barnard,289,25.00
269.836250,-37.148333,Barnard,290,3.00
269.930833,-33.896667,Barnard,291,5.00
270.142083,-33.344167,Barnard,292,60.00
270.302917,-35.342500,Barnard,293,18.00
270.376250,-28.607500,Barnard,294,3.00
271.022083,-31.166667,Barnard,295,50.00
271.018750,-24.532500,Barnard,296,4.00
271.087083,-18.748056,Barnard,297,75.00
271.296250,-30.096389,Barnard,298,4.00
271.585000,-27.292778,Barnard,299,0.00
271.755417,-32.657778,Barnard,300,0.00
272.211667,-18.700833,Barnard,301,30.00
272.306250,-23.966944,Barnard,302,30.00
272.369167,-23.999444,Barnard,303,1.00
273.336667,-18.720556,Barnard,304,0.00
273.657500,-31.801389,Barnard,305,13.00
273.935833,-25.713889,Barnard,306,4.00
274.659583,-17.954444,Barnard,307,6.00
274.785417,-22.236667,Barnard,308,6.00
275.785417,-24.024722,Barnard,309,5.00
277.555000,-18.586111,Barnard,310,2.00
277.613333,-17.668611,Barnard,311,6.00
278.044167,-15.580000,Barnard,312,75.00
278.986667,-15.685278,Barnard,313,15.00
279.269583,-9.714722,Barnard,314,35.00
280.577083,-20.033333,Barnard,315,5.00
280.460417,-2.133333,Barnard,316,6.00
281.441667,-14.205833,Barnard,317,20.00
282.428333,-6.393611,Barnard,318,60.00
282.992083,-1.269722,Barnard,319,7.00
283.196667,-5.851111,Barnard,320,15.00
283.508333,-11.297778,Barnard,321,13.00
283.946250,-4.458611,Barnard,322,2.00
284.392500,-3.420000,Barnard,323,17.00
284.845833,-2.998056,Barnard,324,30.00
284.975000,-4.063056,Barnard,325,15.00
285.856667,-0.385833,Barnard,326,20.00
286.112500,-5.133056,Barnard,327,25.00
286.206250,-4.248611,Barnard,328,4.00
286.747917,3.191389,Barnard,329,6.00
289.890000,7.561389,Barnard,330,30.00
291.515833,7.580000,Barnard,331,40.00
292.002500,8.752222,Barnard,332,0.00
292.230417,10.671667,Barnard,333,60.00
293.775000,12.322500,Barnard,334,3.00
294.225417,7.610556,Barnard,335,6.00
294.171250,12.343611,Barnard,336,2.00
294.253750,12.394444,Barnard,337,3.00
295.761667,7.460833,Barnard,338,8.00
296.010833,8.296944,Barnard,339,60.00
297.185417,11.410000,Barnard,340,7.00
297.505417,34.281667,Barnard,341,30.00
302.378333,41.200556,Barnard,342,4.00
303.358333,40.277222,Barnard,343,13.00
304.050833,40.217500,Barnard,344,7.00
305.251250,46.563333,Barnard,345,15.00
306.692083,43.744167,Barnard,346,10.00
307.115833,39.914444,Barnard,347,1.00
308.609583,42.095833,Barnard,348,60.00
311.850833,43.959444,Barnard,349,6.00
312.277917,45.880000,Barnard,350,3.00
313.114583,47.404444,Barnard,351,20.00
314.294583,45.898056,Barnard,352,22.00
314.344167,45.481667,Barnard,353,9.00
314.554583,58.151389,Barnard,354,60.00
314.908333,43.186389,Barnard,355,5.00
314.995000,46.687500,Barnard,356,24.00
314.966667,55.571389,Barnard,357,30.00
316.419167,43.282778,Barnard,358,20.00
316.695417,57.169722,Barnard,359,20.00
316.967500,56.505000,Barnard,360,54.00
318.190833,47.431111,Barnard,361,20.00
320.990417,50.203333,Barnard,362,15.00
321.224167,48.938333,Barnard,363,40.00
323.518750,54.555833,Barnard,364,75.00
323.722917,56.724167,Barnard,365,22.00
325.089583,59.567500,Barnard,366,10.00
326.102083,57.174444,Barnard,367,5.00
327.731667,58.985278,Barnard,368,14.00
333.977083,56.022500,Barnard,369,5.00
338.711250,56.645833,Barnard,370,0.00
